id,symbol,target_fiscal_year,target_fiscal_period,snapshot_date,source,revenue_est_as_reported,eps_est_as_reported,num_analysts_revenue,num_analysts_eps,cumulative_split_factor,eps_est_current,revenue_est_current,pulled_at
40,MSFT,2024,Q3,2026-06-09,FMP_earnings_company,60.861823613,2.82,,,1,2.8200000000000000,60.861823613,2026-06-09 11:40:00.107912+08
41,MSFT,2024,Q4,2026-06-09,FMP_earnings_company,64.382224966,2.93,,,1,2.9300000000000000,64.382224966,2026-06-09 11:40:00.107912+08
42,MSFT,2025,Q1,2026-06-09,FMP_earnings_company,64.562402034,3.1,,,1,3.1000000000000000,64.562402034,2026-06-09 11:40:00.107912+08
43,MSFT,2025,Q2,2026-06-09,FMP_earnings_company,68.865707131,3.15,,,1,3.1500000000000000,68.865707131,2026-06-09 11:40:00.107912+08
44,MSFT,2025,Q3,2026-06-09,FMP_earnings_company,68.439856878,3.22,,,1,3.2200000000000000,68.439856878,2026-06-09 11:40:00.107912+08
45,MSFT,2025,Q4,2026-06-09,FMP_earnings_company,73.926767276,3.37,,,1,3.3700000000000000,73.926767276,2026-06-09 11:40:00.107912+08
46,MSFT,2026,Q1,2026-06-09,FMP_earnings_company,75.494678452,3.67,,,1,3.6700000000000000,75.494678452,2026-06-09 11:40:00.107912+08
47,MSFT,2026,Q2,2026-06-09,FMP_earnings_company,80.3087,3.9,,,1,3.9000000000000000,80.3087,2026-06-09 11:40:00.107912+08
48,MSFT,2026,Q3,2026-06-09,FMP_earnings_company,81.44437,4.06,,,1,4.0600000000000000,81.44437,2026-06-09 11:40:00.107912+08
49,NVDA,2021,Q2,2026-06-09,FMP_earnings_company,3.493587155,0.05,,,40,0.00125000000000000000,3.493587155,2026-06-09 11:40:00.107912+08
50,NVDA,2021,Q3,2026-06-09,FMP_earnings_company,4.100770428,0.06,,,40,0.00150000000000000000,4.100770428,2026-06-09 11:40:00.107912+08
51,NVDA,2021,Q4,2026-06-09,FMP_earnings_company,4.81435,0.07,,,40,0.00175000000000000000,4.81435,2026-06-09 11:40:00.107912+08
52,NVDA,2022,Q1,2026-06-09,FMP_earnings_company,5.31843,0.08,,,40,0.00200000000000000000,5.31843,2026-06-09 11:40:00.107912+08
53,NVDA,2022,Q2,2026-06-09,FMP_earnings_company,6.8167,0.1,,,10,0.01000000000000000000,6.8167,2026-06-09 11:40:00.107912+08
54,NVDA,2022,Q3,2026-06-09,FMP_earnings_company,7.41339,0.11,,,10,0.01100000000000000000,7.41339,2026-06-09 11:40:00.107912+08
55,NVDA,2022,Q4,2026-06-09,FMP_earnings_company,7.41339,0.12,,,10,0.01200000000000000000,7.41339,2026-06-09 11:40:00.107912+08
56,NVDA,2023,Q1,2026-06-09,FMP_earnings_company,8.123361361,0.13,,,10,0.01300000000000000000,8.123361361,2026-06-09 11:40:00.107912+08
57,NVDA,2023,Q2,2026-06-09,FMP_earnings_company,6.69948657,0.06,,,10,0.00600000000000000000,6.69948657,2026-06-09 11:40:00.107912+08
58,NVDA,2023,Q3,2026-06-09,FMP_earnings_company,5.780771964,0.07,,,10,0.00700000000000000000,5.780771964,2026-06-09 11:40:00.107912+08
59,NVDA,2023,Q4,2026-06-09,FMP_earnings_company,6.00816,0.08,,,10,0.00800000000000000000,6.00816,2026-06-09 11:40:00.107912+08
60,NVDA,2024,Q1,2026-06-09,FMP_earnings_company,6.51683,0.09,,,10,0.00900000000000000000,6.51683,2026-06-09 11:40:00.107912+08
61,NVDA,2024,Q2,2026-06-09,FMP_earnings_company,11.224,0.21,,,10,0.02100000000000000000,11.224,2026-06-09 11:40:00.107912+08
62,NVDA,2024,Q3,2026-06-09,FMP_earnings_company,16.294147339,0.34,,,10,0.03400000000000000000,16.294147339,2026-06-09 11:40:00.107912+08
63,NVDA,2024,Q4,2026-06-09,FMP_earnings_company,20.2388,0.46,,,10,0.04600000000000000000,20.2388,2026-06-09 11:40:00.107912+08
64,NVDA,2025,Q1,2026-06-09,FMP_earnings_company,24.592795107,0.56,,,10,0.05600000000000000000,24.592795107,2026-06-09 11:40:00.107912+08
65,NVDA,2025,Q2,2026-06-09,FMP_earnings_company,28.779505589,0.645,,,1,0.64500000000000000000,28.779505589,2026-06-09 11:40:00.107912+08
66,NVDA,2025,Q3,2026-06-09,FMP_earnings_company,33.171592429,0.75,,,1,0.75000000000000000000,33.171592429,2026-06-09 11:40:00.107912+08
67,NVDA,2025,Q4,2026-06-09,FMP_earnings_company,38.101348563,0.848,,,1,0.84800000000000000000,38.101348563,2026-06-09 11:40:00.107912+08
68,NVDA,2026,Q1,2026-06-09,FMP_earnings_company,43.334160366,0.737,,,1,0.73700000000000000000,43.334160366,2026-06-09 11:40:00.107912+08
69,NVDA,2026,Q2,2026-06-09,FMP_earnings_company,46.048920689,1.01,,,1,1.01000000000000000000,46.048920689,2026-06-09 11:40:00.107912+08
